name,villain_id
Big John,8
Crier Tuck,8
Maid Marilyn,8
Allan A. Dale,8
Bolt,2
Cornelia,2
Latch,2
Queenie,2
Ernie,2
Oliver,2
Stanley,2
Mousey,1
Fangs,1
Whiskers,1
Whitey,1
Across,1
Anna Gram,1
Down,1
Professor Charm,1
Brown,3
Cornell,3
Penn,3
Felix,3
Leo,3
A group of literal tigers,3
Armband,4
Visor,4
Lola Lasagne,4
Finella,4
Octopus,4
Shark,4
Sword Fish,4
Miss Bacon,5
Benedict,5
Foo Yung,5
Pretty Boy Parker,9
Machine Gun Parker,9
Mad Dog Parker,9
Legs Parker,9
Chill,6
Shivers,6
Nippy,6
Moe,6
Kolevator,6
Millie Second,10
Second Hand Five,10
Second Hand Three,10
Lisa,11
Cappy,11
Dicer,11
Benny,11
Polly,11
Skimmer,11
Lydia Limpet,12
Printer's Devil,12
Pressman,12
Typesetter,12